ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương 2. Tiết 3,2,1,"Theo tài liệu Cẩm nang thực chiến, chủ đề chính của tiết học này tập trung vào điều gì?",Quy trình thiết kế website bán hàng trực tuyến.,Những lưu ý cốt lõi khi sử dụng Hợp đồng điện tử.,Các hình thức thanh toán trực tuyến phổ biến hiện nay.,Cách thức giao nhận hàng hóa trong không gian số.,B,Những lưu ý cốt lõi khi sử dụng Hợp đồng điện tử.,Đáp án chính xác là: Những lưu ý cốt lõi khi sử dụng Hợp đồng điện tử.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
2,Chương 2. Tiết 3,2,1,"Tại sao tên chủ đề lại mang tính chất ""phòng thủ"" (Field Manual)?",Vì pháp luật cấm các doanh nghiệp tấn công lẫn nhau.,Vì rủi ro lừa đảo hoặc mất tài sản trên mạng rất lớn.,Vì hệ thống mạng thường xuyên bị lỗi mất kết nối.,Vì các giao dịch điện tử luôn cần công an bảo vệ.,B,Vì rủi ro lừa đảo hoặc mất tài sản trên mạng rất lớn.,Đáp án chính xác là: Vì rủi ro lừa đảo hoặc mất tài sản trên mạng rất lớn.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
3,Chương 2. Tiết 3,2,1,Giai đoạn 1 trong mục tiêu của tiết học là gì?,Giải quyết các tranh chấp thực tế.,Nắm vững các Bốn Lưu ý Vàng.,Nhận diện các rủi ro cốt lõi.,Thực hành thông qua Case Study.,C,Nhận diện các rủi ro cốt lõi.,Đáp án chính xác là: Nhận diện các rủi ro cốt lõi.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
4,Chương 2. Tiết 3,2,1,Thẩm quyền ký kết và Tính toàn vẹn dữ liệu là trọng tâm của giai đoạn nào?,Giai đoạn 1: Nhận diện rủi ro,Giai đoạn 2: Nắm vững Bốn Lưu ý Vàng,Giai đoạn 3: Thực hành Case Study,Giai đoạn 4: Tổng kết bài học,B,Giai đoạn 2: Nắm vững Bốn Lưu ý Vàng,Đáp án chính xác là: Giai đoạn 2: Nắm vững Bốn Lưu ý Vàng. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
5,Chương 2. Tiết 3,2,1,Rủi ro mạo danh đại diện xuất phát từ nguyên nhân cốt lõi nào trong hợp đồng điện tử?,Do giao dịch chỉ thông qua điện thoại di động.,Do không có sự hiện diện và gặp mặt trực tiếp.,Do mạng internet thường xuyên không ổn định.,Do chi phí đăng ký chữ ký số ngày càng quá cao.,B,Do không có sự hiện diện và gặp mặt trực tiếp.,Đáp án chính xác là: Do không có sự hiện diện và gặp mặt trực tiếp.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
6,Chương 2. Tiết 3,2,1,"Để kiểm tra thẩm quyền ký kết của đối tác (B2B), doanh nghiệp cần kiểm tra chứng từ gì đầu tiên?",Giấy chứng nhận Đăng ký doanh nghiệp.,Giấy phép lái xe cá nhân của người ký.,Thẻ Căn cước công dân của nhân viên kế toán.,Sổ hộ khẩu thường trú của vị Giám đốc.,A,Giấy chứng nhận Đăng ký doanh nghiệp.,Đáp án chính xác là: Giấy chứng nhận Đăng ký doanh nghiệp.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
7,Chương 2. Tiết 3,2,1,Chứng thư số (Digital Certificate) phải ghi đúng thông tin gì?,Tên của nhân viên bộ phận kế toán.,Tên của người đại diện hợp pháp.,Tên của hệ thống phần mềm website.,Tên miền gốc của website doanh nghiệp.,B,Tên của người đại diện hợp pháp.,Đáp án chính xác là: Tên của người đại diện hợp pháp.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
8,Chương 2. Tiết 3,2,1,Hậu quả của việc ký sai thẩm quyền trong giao dịch điện tử là gì?,Hợp đồng sẽ được tự động gia hạn thêm.,Hợp đồng vô hiệu dẫn đến thiệt hại tài chính.,Website doanh nghiệp sẽ bị khóa vĩnh viễn.,Doanh nghiệp chỉ bị phạt hành chính mức nhẹ.,B,Hợp đồng vô hiệu dẫn đến thiệt hại tài chính.,Đáp án chính xác là: Hợp đồng vô hiệu dẫn đến thiệt hại tài chính.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
9,Chương 2. Tiết 3,2,1,Quy tắc pháp lý cốt lõi về Tính toàn vẹn của Dữ liệu là gì?,Thông tin phải được lưu trữ trên nền tảng đám mây.,Thông tin phải không bị thay đổi kể từ lúc tạo ra.,Thông tin bắt buộc in ra giấy ngay lập tức.,Thông tin phải được chia sẻ cho bên thứ 3.,B,Thông tin phải không bị thay đổi kể từ lúc tạo ra.,Đáp án chính xác là: Thông tin phải không bị thay đổi kể từ lúc tạo ra.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
10,Chương 2. Tiết 3,2,1,"Về mặt giao thức kỹ thuật, doanh nghiệp nên sử dụng định dạng tài liệu nào để đảm bảo tính toàn vẹn?",Bản lưu định dạng Word truyền thống.,Bản lưu dưới dạng File ảnh JPEG.,Bản lưu định dạng PDF/A (gạch chéo A).,Bản lưu định dạng bảng tính Excel.,C,Bản lưu định dạng PDF/A (gạch chéo A).,Đáp án chính xác là: Bản lưu định dạng PDF/A (gạch chéo A).. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
11,Chương 2. Tiết 3,2,1,Tính năng tuyệt vời của chữ ký số khi nội dung file bị thay đổi sau khi ký là gì?,Hệ thống sẽ báo cáo lên cơ quan chức năng.,Hệ thống sẽ báo lỗi chữ ký không hợp lệ.,Hệ thống sẽ tự động khôi phục nội dung cũ.,Hệ thống sẽ tự động mã hóa máy tính.,B,Hệ thống sẽ báo lỗi chữ ký không hợp lệ.,Đáp án chính xác là: Hệ thống sẽ báo lỗi chữ ký không hợp lệ.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
12,Chương 2. Tiết 3,2,1,"Chức năng ""Dấu thời gian"" (Time-stamping) được áp dụng để làm gì?",Để giới hạn thời gian đọc hợp đồng của đối tác.,Để tự động lập trình nhắc hẹn giờ gửi email.,Để ghi nhận chính xác giây phút hợp đồng được ký.,Để xóa dữ liệu sau một khoảng thời gian nhất định.,C,Để ghi nhận chính xác giây phút hợp đồng được ký.,Đáp án chính xác là: Để ghi nhận chính xác giây phút hợp đồng được ký.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
