ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Module 4. An toàn,4,1,Hãy cho biết phương thức chính mà kẻ tấn công sử dụng để cài đặt mã độc memory-scraper lên các thiết bị PoS sau khi đã xâm nhập vào mạng nội bộ của tổ chức?,Gửi email giả dạng người tìm việc đính kèm mã độc.,Khai thác lỗ hổng trong phần mềm quản lý bán hàng.,Tấn công vật lý vào các thiết bị đầu cuối PoS.,Sử dụng mạng không dây không an toàn để xâm nhập.,B,Khai thác lỗ hổng trong phần mềm quản lý bán hàng.,"Đáp án chính xác là: Khai thác lỗ hổng trong phần mềm quản lý bán hàng.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
2,Module 4. An toàn,4,1,Hãy cho biết lý do chính khiến các tổ chức y tế trở thành nạn nhân của các cuộc tấn công ransomware?,Dữ liệu có giá trị cao.,Hệ thống an ninh yếu.,Bán thiết bị y tế.,Trả tiền chuộc để khôi phục dữ liệu.,D,Trả tiền chuộc để khôi phục dữ liệu.,"Đáp án chính xác là: Trả tiền chuộc để khôi phục dữ liệu.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
3,Module 4. An toàn,4,1,"Người dùng thường mắc lỗi phổ biến là sử dụng mật khẩu mặc định đối với các thiết bị mạng gia đình, việc này có thể dẫn đến những rủi ro nào dưới đây?",Làm hỏng phần cứng của thiết bị.,Mã hóa dữ liệu và đòi tiền chuộc (ransomware).,Chiếm quyền điều khiển thiết bị.,Sử dụng năng lực của thiết bị để đào tiền ảo.,C,Chiếm quyền điều khiển thiết bị.,"Đáp án chính xác là: Chiếm quyền điều khiển thiết bị.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
4,Module 4. An toàn,4,1,"Hãy cho biết nguyên nhân nào dưới đây khiến cho Cơ quan Quản lý An toàn Giao thông Đường bộ Quốc gia (NHTSA) phải thu hồi 1,4 triệu xe ô tô? Chọn đáp án đúng nhất",Vấn đề về túi khí không hoạt động đúng cách.,Lỗi sản xuất trong hệ thống phanh của xe.,Lỗ hổng bảo mật cho phép điều khiển xe từ xa.,Lỗi trong hệ thống định vị GPS của xe.,C,Lỗ hổng bảo mật cho phép điều khiển xe từ xa.,"Đáp án chính xác là: Lỗ hổng bảo mật cho phép điều khiển xe từ xa.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
5,Module 4. An toàn,4,1,"Botnet Mirai, nổi tiếng với việc tạo ra các cuộc tấn công từ chối dịch vụ (DDoS) quy mô lớn, chủ yếu khai thác lỗ hổng từ loại thiết bị nào?",Điện thoại thông minh (smartphones) chạy Android.,Máy tính cá nhân (PC) và máy tính xách tay (laptop).,"Các thiết bị IoT (như camera IP, bộ định tuyến).",Các máy chủ (servers).,C,"Các thiết bị IoT (như camera IP, bộ định tuyến).","Đáp án chính xác là: Các thiết bị IoT (như camera IP, bộ định tuyến).. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
6,Module 4. An toàn,4,1,Các cuộc tấn công chuyển tiếp tín hiệu (Relay Attack) nhắm vào hệ thống PKES (Passive Keyless Entry) được thực hiện thành công là do ...?,Kẻ tấn công sử dụng một chìa khóa đa năng để bẻ khóa mã.,Tín hiệu giữa chìa khóa và xe ô tô không được mã hóa.,"Hệ thống chỉ xác thực sự hiện diện của chìa khóa, không xác thực khoảng cách (hoặc thời gian trễ) của tín hiệu.",Hệ thống PKES bị gây nhiễu (jamming) khiến nó tự động mở khóa.,C,"Hệ thống chỉ xác thực sự hiện diện của chìa khóa, không xác thực khoảng cách (hoặc thời gian trễ) của tín hiệu.","Đáp án chính xác là: Hệ thống chỉ xác thực sự hiện diện của chìa khóa, không xác thực khoảng cách (hoặc thời gian trễ) của tín hiệu.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
7,Module 4. An toàn,4,1,Hãy cho biết lý do chính khiến các sản phẩm chống virus truyền thống thường có tỷ lệ phát hiện thấp đối với phần mềm độc hại?,Chỉ kiểm tra các tệp đính kèm email.,Yêu cầu khởi động lại máy tính để cập nhật.,Chưa có mẫu cho mối đe dọa mới. ,Sử dụng quá nhiều tài nguyên hệ thống.,C,Chưa có mẫu cho mối đe dọa mới.,"Đáp án chính xác là: Chưa có mẫu cho mối đe dọa mới.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
8,Module 4. An toàn,4,1,Hãy cho biết lựa chọn nào dưới đây liên quan đến tấn công mạng?,Người dùng xóa nhầm dữ liệu.,Dữ liệu bị mất do hỏng ổ cứng.,Thông tin thẻ thanh toán bị kẻ tấn công mạng đánh cắp.,Gửi nhầm dữ liệu cho người dùng khác.,C,Thông tin thẻ thanh toán bị kẻ tấn công mạng đánh cắp.,"Đáp án chính xác là: Thông tin thẻ thanh toán bị kẻ tấn công mạng đánh cắp.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
9,Module 4. An toàn,4,1,Hãy cho biết lỗ hổng nghiêm trọng xuất hiện trên máy tính Apple liên quan đến tính năng nào dưới đây?,Trình duyệt web Safari mặc định.,Tính năng xác thực bằng vân tay (Touch ID).,Tính năng tiết kiệm năng lượng khi máy khởi động từ chế độ ngủ.,Cửa hàng ứng dụng App Store.,C,Tính năng tiết kiệm năng lượng khi máy khởi động từ chế độ ngủ.,"Đáp án chính xác là: Tính năng tiết kiệm năng lượng khi máy khởi động từ chế độ ngủ.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
10,Module 4. An toàn,4,1,"Hãy cho biết lựa chọn nào dưới đây mô tả đầy đủ nhất liên quan đến một mạng lưới lỏng lẻo của những kẻ tấn công, trộm danh tính và lừa đảo tài chính?",Nhà hoạt động tin tặc (Hactivists).,Script Kiddies.,Tội phạm mạng (Cybercriminals).,Khủng bố mạng (Cyberterrorists).,C,Tội phạm mạng (Cybercriminals).,"Đáp án chính xác là: Tội phạm mạng (Cybercriminals).. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
11,Module 4. An toàn,4,1,Hãy cho biết lựa chọn nào dưới đây mô tả đầy đủ nhất liên quan đến Web chìm (Deep Web)?,Thông tin đã được cố tình che giấu và không thể truy cập qua trình duyệt web tiêu chuẩn.,Bất cứ thứ gì có thể được tìm thấy và lập chỉ mục bởi một công cụ tìm kiếm.,Nội dung không thể tìm thấy bởi một công cụ tìm kiếm mà chỉ có thể truy cập qua hộp tìm kiếm trên trang web đó.,Các trang web chợ đen của kẻ tấn công.,C,Nội dung không thể tìm thấy bởi một công cụ tìm kiếm mà chỉ có thể truy cập qua hộp tìm kiếm trên trang web đó.,"Đáp án chính xác là: Nội dung không thể tìm thấy bởi một công cụ tìm kiếm mà chỉ có thể truy cập qua hộp tìm kiếm trên trang web đó.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
