ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,Explanation
1,Chương 2. Tiết 4,2,1,"Theo định nghĩa học thuật, Thanh toán điện tử là gì?",Chỉ là việc thao tác thanh toán bằng tiền mặt qua website.,Tiến hành thanh toán giá trị tiền tệ qua phương tiện điện tử.,Quá trình này chỉ áp dụng cho các giao dịch ngân hàng lớn.,Là phương thức tự động nạp tiền vào chiếc thẻ cào điện thoại.,B,Tiến hành thanh toán giá trị tiền tệ qua phương tiện điện tử.,Đáp án chính xác là: Tiến hành thanh toán giá trị tiền tệ qua phương tiện điện tử.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
2,Chương 2. Tiết 4,2,1,Sự khác biệt lớn nhất giữa việc tìm hiểu thanh toán điện tử của sinh viên nhóm ngành kinh tế và người dùng bình thường là gì?,Tập trung tìm hiểu cách quét mã QR sao cho nhanh nhất.,Tìm cách nhận được nhiều mã khuyến mãi khi thanh toán nhất.,"Hiểu hệ thống vận hành, quản trị rủi ro và tích hợp mô hình.",Biết cách đăng nhập ứng dụng mọi lúc mọi nơi để dùng liền.,C,"Hiểu hệ thống vận hành, quản trị rủi ro và tích hợp mô hình.","Đáp án chính xác là: Hiểu hệ thống vận hành, quản trị rủi ro và tích hợp mô hình.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức."
3,Chương 2. Tiết 4,2,1,"Tại sao thanh toán điện tử được coi là ""vũ khí cạnh tranh"" của doanh nghiệp số?",Nó cho phép gửi tin nhắn rác quảng cáo đi liên tục mỗi ngày.,Hệ thống mượt mà giúp giữ chân khách hàng và tăng chốt đơn.,Nó bắt buộc dùng để thu thập thông tin liên hệ của khách hàng.,Chi phí thiết lập hệ thống luôn rẻ nhất và cực kỳ linh hoạt.,B,Hệ thống mượt mà giúp giữ chân khách hàng và tăng chốt đơn.,Đáp án chính xác là: Hệ thống mượt mà giúp giữ chân khách hàng và tăng chốt đơn.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
4,Chương 2. Tiết 4,2,1,Bản chất thực sự của việc dịch chuyển dòng tiền trên mạng điện tử là gì?,Sự vận chuyển vật lý của những tờ tiền giấy giữa các ngân hàng.,Hình ảnh của tờ tiền giấy được scan kỹ thuật và chép qua fax.,Sự cập nhật số dư bằng dữ liệu ghi nhận trên hệ cơ sở dữ liệu.,Quá trình in lại tiền giấy tự động ở ngay bên tại chi nhánh đích.,C,Sự cập nhật số dư bằng dữ liệu ghi nhận trên hệ cơ sở dữ liệu.,Đáp án chính xác là: Sự cập nhật số dư bằng dữ liệu ghi nhận trên hệ cơ sở dữ liệu.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
5,Chương 2. Tiết 4,2,1,Cổng chuyển mạch tài chính quốc gia nào tại Việt Nam làm nhiệm vụ trung chuyển lệnh thanh toán giữa các ngân hàng?,NFC,NAPAS,Biometrics,OTP,B,NAPAS,Đáp án chính xác là: NAPAS. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
6,Chương 2. Tiết 4,2,1,"Ở góc độ người tiêu dùng, lợi ích rõ nét nhất của thanh toán điện tử là gì?",Tính tiện lợi 24/7 và hệ thống thống kê chi tiêu rất tiện.,Khách hàng không bao giờ phải đóng các khoản thuế cá nhân.,Cho phép khách hàng có thể mua hàng nợ vô thời hạn lâu.,Luôn được nhận hàng chuyển phát miễn phí từ mọi nhà bán.,A,Tính tiện lợi 24/7 và hệ thống thống kê chi tiêu rất tiện.,Đáp án chính xác là: Tính tiện lợi 24/7 và hệ thống thống kê chi tiêu rất tiện.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
7,Chương 2. Tiết 4,2,1,"Với doanh nghiệp, lợi ích nào sau đây KHÔNG phải là tác dụng của thanh toán điện tử?",Giúp dòng tiền của công ty được xoay vòng vốn cực kỳ nhanh.,Chấm dứt hoàn toàn rủi ro việc nhận phải tiền giả giao dịch.,Làm tăng thời gian và chi phí cho nhân viên đếm tiền thủ công.,Giúp giảm thiểu lớn phần chi phí vận hành an ninh và bảo vệ.,C,Làm tăng thời gian và chi phí cho nhân viên đếm tiền thủ công.,Đáp án chính xác là: Làm tăng thời gian và chi phí cho nhân viên đếm tiền thủ công.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
8,Chương 2. Tiết 4,2,1,"Đối với quốc gia (vĩ mô), thanh toán điện tử giúp chính phủ điều gì?",Dễ dàng theo dõi dấu vết qua kỹ thuật số và chống rửa tiền.,Làm giảm đi số lượng sinh viên thích vào học ngành tài chính.,Làm tăng khối lượng công việc kiểm kê sổ sách tại các kho bạc.,Bắt buộc mọi người dân phải có smartphone để đăng nhập mạng.,A,Dễ dàng theo dõi dấu vết qua kỹ thuật số và chống rửa tiền.,Đáp án chính xác là: Dễ dàng theo dõi dấu vết qua kỹ thuật số và chống rửa tiền.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
9,Chương 2. Tiết 4,2,1,Mối quan hệ nào đúng khi so sánh Thanh toán Điện tử (E-Payment) và Thanh toán Thương mại điện tử (E-Commerce Payment)?,Thanh toán TMĐT là một tập hợp con của Thanh toán điện tử.,Thanh toán điện tử là tập con của Thanh toán TMĐT toàn cầu.,Hai khái niệm này hoàn toàn không có mối liên quan gì đến nhau.,Chúng hoàn toàn giống hệt và có thể sử dụng cho mọi mục đích.,A,Thanh toán TMĐT là một tập hợp con của Thanh toán điện tử.,Đáp án chính xác là: Thanh toán TMĐT là một tập hợp con của Thanh toán điện tử.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
10,Chương 2. Tiết 4,2,1,"Điều kiện khắt khe để một giao dịch được gọi là ""Thanh toán trong Thương mại điện tử"" là gì?",Chỉ thực hiện giao dịch thông qua kết nối cấu trúc mạng Wifi.,Phải gắn liền với một giao dịch mua bán hàng hóa hoặc dịch vụ.,Dùng để chuyển tiền quà cáp cho người thân yêu nhân dịp Tết.,Dùng để công ty thực hiện chi trả tiền lương hàng tháng cho NV.,B,Phải gắn liền với một giao dịch mua bán hàng hóa hoặc dịch vụ.,Đáp án chính xác là: Phải gắn liền với một giao dịch mua bán hàng hóa hoặc dịch vụ.. Vui lòng ôn tập lại nội dung Tiết học này để nắm vững kiến thức.
